profile,input,oversampling,scenario,rate,frames,repeats,baseline_cpu_ns,mono_reuse_cpu_ns,cpu_saving_percent,saving_min_percent,saving_max_percent,baseline_elapsed_ns,mono_reuse_elapsed_ns,elapsed_saving_percent,all_four_printed_checksums_equal
high-guitar-mono,guitar-mono,high,all-british,48000,96000,3,6142.661458,3057.078125,50.232026526245185,50.11255808328807,50.35149496920233,6251.6653595,3087.8956200000002,50.606831261247066,True
high-guitar-mono,guitar-mono,high,all-modern,48000,96000,3,1385.859375,704.94270835,49.13317172963527,49.10874344664299,49.15760001262755,1431.91688,710.62066145,50.37277153615229,True
high-guitar-mono,guitar-mono,high,automation,48000,96000,3,4389.6875,2217.703125,49.47924823805795,49.45350134833061,49.50499512778529,4415.274739500001,2231.8253075000002,49.45217593067065,True
standard-guitar,guitar,standard,bypass,48000,96000,3,23.265625,23.692708335,-1.8356839113498946,-1.9476158495634666,-1.7237519731363449,23.551005205,24.084635415,-2.265848974831486,True
standard-guitar,guitar,standard,pedal,48000,96000,3,248.34895835,260.72916665,-4.985005124343034,-7.7323154796312465,-2.2376947690547766,253.8146667,282.6026458,-11.342125919786339,True
standard-guitar,guitar,standard,american,48000,96000,3,3079.369792,3137.921875,-1.9014307132619868,-2.0490867372904287,-1.753774689233567,3184.7569425,3283.86849,-3.112060018690088,True
standard-guitar,guitar,standard,british,48000,96000,3,2991.7760415000002,2999.057292,-0.2433755200589527,-0.9176196720338536,0.43086863191594826,3087.5889740000002,3054.885198,1.059201087819417,True
standard-guitar,guitar,standard,modern,48000,96000,3,554.3125,560.74479165,-1.1604089119404692,-1.7081970909910815,-0.612620732889857,566.38259895,572.9626770499999,-1.1617726448867938,True
standard-guitar,guitar,standard,compressor,48000,96000,3,23.885416665,24.182291665,-1.2429132142166788,-2.834714355191248,0.3488879267578904,24.641494795,24.624786460000003,0.06780568767844608,True
standard-guitar,guitar,standard,delay,48000,96000,3,23.666666665,23.6875,-0.08802817606252678,-0.9242957958397469,0.7482394437146711,24.71940104,23.830942705,3.5941742017225,True
standard-guitar,guitar,standard,room,48000,96000,3,23.682291665,23.96354167,-1.1875962384825245,-1.3855289413774674,-0.9896635355875816,23.90169271,24.09722396,-0.8180644457795871,True
standard-guitar,guitar,standard,all-american,48000,96000,3,3418.0833334999998,3394.4739584999998,0.6907197015534661,-0.11397713630378892,1.49541653941071,3551.007599,3456.6045990000002,2.658484876984901,True
standard-guitar,guitar,standard,all-british,48000,96000,3,3393.03125,3311.3385415000002,2.407661541578776,2.339660650045594,2.4756624331119803,3574.6851145,3372.6998695,5.650434612567324,True
standard-guitar,guitar,standard,all-modern,48000,96000,3,735.84895835,750.02604165,-1.926629526226331,-3.341520208866644,-0.5117388435860182,758.1286927,791.5926614499999,-4.414022193358935,True
standard-guitar,guitar,standard,automation,48000,96000,3,2409.9791665000002,2397.0364584999998,0.5370464682811771,-0.07650483147858544,1.1505977680409285,2497.754125,2439.4162290000004,2.3356140388718027,True
high-guitar,guitar,high,bypass,48000,96000,3,24.90104167,25.9375,-4.162309126403696,-11.357456597517501,3.0328383447101093,26.783640625,28.50455729,-6.42525297100085,True
high-guitar,guitar,high,pedal,48000,96000,3,496.6510417,494.76041665,0.3806747376444708,-2.8744612215317433,3.635810696820696,553.1788125,551.09027605,0.37755177942575546,True
high-guitar,guitar,high,american,48000,96000,3,5976.463542,5930.291667,0.7725618114378885,-2.4834398128082746,4.028563435684052,6745.430770999999,6610.339198,2.002712318697064,True
high-guitar,guitar,high,british,48000,96000,3,5826.505208,5723.34375,1.770554634678012,-1.235106456288615,4.776215725644639,6501.1684065,6335.063583499999,2.554999541835057,True
high-guitar,guitar,high,modern,48000,96000,3,1120.6875,1064.213542,5.039224404662324,2.865614455412413,7.212834353912223,1378.7567295,1141.3324635,17.220170964177328,True
high-guitar,guitar,high,compressor,48000,96000,3,31.4375,24.807291665,21.09012591650099,17.726971514910538,24.45328031809145,37.440541665,25.449005205,32.02821307259525,True
high-guitar,guitar,high,delay,48000,96000,3,25.90625,24.14583333,6.79533575874548,6.192199449939695,7.3984720675512765,27.596348955,24.347875000000002,11.771390339704446,True
high-guitar,guitar,high,room,48000,96000,3,24.072916665,28.609375,-18.844656001304692,-38.55473823200724,0.8654262293978809,25.748703125,29.59439583,-14.935481163189657,True
high-guitar,guitar,high,all-american,48000,96000,3,6743.135417,6695.416666499999,0.7076641287626861,-1.961099322825599,3.376427580350949,7733.416229500001,7596.1733955,1.774672795658816,True
high-guitar,guitar,high,all-british,48000,96000,3,6712.125,6441.34375,4.0342104773078535,1.305473303908966,6.7629476507067405,7625.5907085,7118.873922,6.644951268302135,True
high-guitar,guitar,high,all-modern,48000,96000,3,1551.3645835,1479.4791665,4.633689447635891,2.783168054706331,6.48421084056544,2297.0338545,1624.7775625,29.26627705913074,True
high-guitar,guitar,high,automation,48000,96000,3,4899.979167,4783.015625,2.387021209961815,1.990654728838781,2.78338769108486,5945.1137135,5760.773,3.1007096311951754,True
